23:04:51.545 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2248Size of Array = 10000
23:04:51.596 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:51.596 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2248
23:04:51.596 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2248is not prime but doesn't exist in Fibonacci Series.
23:04:51.596 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2249Size of Array = 10000
23:04:51.635 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:51.636 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2249
23:04:51.636 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2249is not prime but doesn't exist in Fibonacci Series.
23:04:51.636 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2250Size of Array = 10000
23:04:51.677 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:51.677 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2250
23:04:51.677 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2250is not prime but doesn't exist in Fibonacci Series.
23:04:51.677 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2251Size of Array = 10000
23:04:51.723 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:51.724 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED true value = 2251
23:04:51.724 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2251is prime but doesn't exist in Fibonacci Series.
23:04:51.724 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2252Size of Array = 10000
23:04:51.768 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:51.778 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2252
23:04:51.778 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2252is not prime but doesn't exist in Fibonacci Series.
23:04:51.778 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2253Size of Array = 10000
23:04:51.827 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:51.827 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2253
23:04:51.828 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2253is not prime but doesn't exist in Fibonacci Series.
23:04:51.828 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2254Size of Array = 10000
23:04:51.870 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:51.870 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2254
23:04:51.870 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2254is not prime but doesn't exist in Fibonacci Series.
23:04:51.870 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2255Size of Array = 10000
23:04:51.911 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:51.911 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2255
23:04:51.911 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2255is not prime but doesn't exist in Fibonacci Series.
23:04:51.911 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2256Size of Array = 10000
23:04:51.960 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:51.960 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2256
23:04:51.960 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2256is not prime but doesn't exist in Fibonacci Series.
23:04:51.960 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2257Size of Array = 10000
23:04:52.006 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.006 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2257
23:04:52.006 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2257is not prime but doesn't exist in Fibonacci Series.
23:04:52.006 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2258Size of Array = 10000
23:04:52.048 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.048 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2258
23:04:52.048 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2258is not prime but doesn't exist in Fibonacci Series.
23:04:52.048 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2259Size of Array = 10000
23:04:52.090 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.090 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2259
23:04:52.090 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2259is not prime but doesn't exist in Fibonacci Series.
23:04:52.090 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2260Size of Array = 10000
23:04:52.131 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.131 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2260
23:04:52.131 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2260is not prime but doesn't exist in Fibonacci Series.
23:04:52.131 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2261Size of Array = 10000
23:04:52.174 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.174 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2261
